Unit,Year Established,Affiliation,Predecessor,Successor,Command
Combat Engineering Reconnaissance Platoons,1993,Engineering,,,
Snowy Slope,1994,"Engineering, Yahalom",Snowy Slope,Snowy Slope,General
Combat Engineering Reconnaissance Platoon 601,1994,"Combat Engineering Reconnaissance Platoons, Engineering",Combat Engineering Reconnaissance Company 601,Combat Engineering Reconnaissance Company 601,Center
Yahalom Combat Engineering Unit for Special Operations,1995,Engineering,Yahalom Combat Engineering Unit for Special Operations,Yahalom Combat Engineering Unit for Special Operations,General
Egoz 621,1995,"Golani Brigade, Infantry",Egoz Reconnaissance Unit,"""The 89th """"Oz"""" Brigade""",North
Visual Intelligence Battalion,1996,Field Intelligence,Visual Intelligence Battalion 1996,Visual Intelligence Battalion 1996,
Target Field Intelligence Battalion 5707,1996,Air force,Battalion for Air Assignments (Shaldag) 5101,Battalion for Air Assignments (Shaldag) 5101,Palamachim
"Matilan Border Patrol - intelligence, observation, interception, mobile warfare",1996,Police,"Matilan Border Patrol - intelligence, interception, mobile warfare, observation","Matilan Border Patrol - intelligence, interception, mobile warfare, observation",North
Stinger Anti Aircraft Unit,1998,Air force,Stinger Anti Aircraft Unit,Stinger Anti Aircraft Unit,General
Almagor,2000,Field Intelligence,Almagor,Almagor,North
"Nesher Mobile Company 414 ",2000,Field Intelligence,The Nesher (Eagle) 414,The Nesher (Eagle) 414,South
Yacmam A - The Shahaf Seagull Battalion,2000,Field Intelligence,,,
Yachmam B - The Shahaf Seagull Battalion,2000,Field Intelligence,The Shahaf (Seagull) Battalion,The Shahaf (Seagull) Battalion,North
"Nitzan 636 ",2000,Field Intelligence,The Nitzan 636,The Nitzan 636,Center
Ayit 595,2000,Field Intelligence,,,Northern
Yagal,2000,"Police, YAMAS",,,
Unit 5252,2000,Artillery,,,
Senior General Staff Security Unit,2001,,Senior General Staff Security Unit,Senior General Staff Security Unit,General
"Golani Reconnaissance Battalion ",2001,"Infantry, Northern Command","Golani Anti-Tank Company 1977, Golani Engineering company, Reconnaisance Platoon Golani",,North
Paratroopers Reconnaissance Battalion 5135,2002,"Infantry, Paratroopers Brigade 35",Paratroopers Reconnaissance Battalion (Gadsar),Paratroopers Reconnaissance Battalion (Gadsar),Center
Givati Reconnaissance Battalion (Gadsar),2002,"Givati Brigade 84, Infantry",Givati Reconnaissance Battalion (Gadsar),Givati Reconnaissance Battalion (Gadsar),South
Nahal Reconnaissance Battalion (Gadsar),2002,"Infantry, Nahal Brigade 933",Nahal Reconnaissance Battalion (Gadsar),Nahal Reconnaissance Battalion (Gadsar),Center
Samoor Platoon,2003,"Engineering, Yahalom",Samoor platoon,Samoor platoon,South
Masada Prison Service,2003,Prison Service,Masada Prison Service,Masada Prison Service,General
Kfir Brigade,2005,99 Division - The Maneuver Formation,,,
Balnam 444,2005,"99 Division - The Maneuver Formation, Marom",,,
Marom - Center for Airborne and Special Training,2005,99 Division - The Maneuver Formation,,,
Border Police Reconnaissance Unit - South,2008,Police,Israeli Police Border Reconnaisance - South,Israeli Police Border Reconnaisance - South,South
Rimon 845,2010,"Givati Brigade 84, Regional, Southern Command",Granade Rimon,"""The 89th """"Oz"""" Brigade""",South
Sky Rider Unit 5353,2010,162 Division,,,
Depth Corps,2012,IDF,,,
Unit Yanmam Airborne Anti Aircraft Unit,2012,Infantry,Duvdevan (Unit 217),,General
Egoz 621,2015,"89 Oz Brigade, Infantry",Egoz Reconnaissance Unit,"""The 89th """"Oz"""" Brigade""",North
The 89th Oz Brigade,2015,98 Division - The Fire Formation,"Duvdevan (Unit 217), Egoz Reconnaissance Unit, Maglan 212, Rimon 845",,General
Tactical Brigade Border Police,2017,"Border Police, Police",,,
Sayeret Charuv 93,2017,"99 Division - The Maneuver Formation, Division 99, Kfir Brigade",Sayeret Haruv 484,,Center
Kfir Brigade 900,2017,"99 Division - The Maneuver Formation, Division 99, Kfir Brigade",,,Center
Yatam (rapid response unit) the valleys,2017,Central Command,,,
Unit Daya,2018,Artillery,,,
Sayeret Golani,2018,,,,
Meitar 427,2020,ATM,Moran 427,Meitar 427,North
Wing 7,2020,Air force,,,
Multi-Dimensional Ghost Unit 888,2020,99 Division - The Maneuver Formation,,,
99 Division,2020,99 Division - The Maneuver Formation,,,
Sayeret Debora,2021,Northern Command,,,Northern Command
Lion King Malar,2021,Armor,,,
Sayeret Nahal 934 - Topaz,2021,Nahal Brigade 933,,,
"935 - China - Mobility Team Nahal ",2022,Nahal Brigade 933,,,
Sayeret Alon,,,,,
Coral,,,,,
Marul,,,,,
Spectrum,,,,,
SIGINT Battalion,,,,,
Green Squirrel,1973,"ATM, Paratroopers",Unit 755,"Maglan 212, Meitar 427, Moran, Orev",
MATPA,2004,Police,,,
סיירת צנחנים - פנל״ג,1998,Paratroopers Brigade 35,,,
סיירת צנחנים חימוש משוטט,,,,,
פלוגות חשיפה תקיפה חימוש משוטט,,,,,
,,,,,
לבן על לבן: הצצה נדירה להכשרת לוחמי האלפיניסטים | ישראל היום,,,,,
"רואים רחוק: לוחמי היחמ""ם נחשפים באימון מיוחד",,,,,
669,,,,,
